2021-12-13 15:12:399 INFO  SelectNationalityPage :29 - Clicking on reason for visit: Chile[[ChromeDriver: chrome on WINDOWS (a5c22ede9d04b2c3d314b4e6e3a83760)] -> xpath: //select[@id='response']]
2021-12-13 15:12:882 INFO  SelectNationalityPage :34 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (a5c22ede9d04b2c3d314b4e6e3a83760)] -> xpath: //button[normalize-space()='Continue']]
2021-12-13 15:12:105 INFO  ReasonForTravelPage :31 - Clicking on reason for visit: Work, academic visit or business[[[ChromeDriver: chrome on WINDOWS (a5c22ede9d04b2c3d314b4e6e3a83760)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (a5c22ede9d04b2c3d314b4e6e3a83760)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (a5c22ede9d04b2c3d314b4e6e3a83760)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (a5c22ede9d04b2c3d314b4e6e3a83760)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (a5c22ede9d04b2c3d314b4e6e3a83760)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (a5c22ede9d04b2c3d314b4e6e3a83760)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (a5c22ede9d04b2c3d314b4e6e3a83760)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (a5c22ede9d04b2c3d314b4e6e3a83760)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (a5c22ede9d04b2c3d314b4e6e3a83760)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-13 15:12:570 INFO  ReasonForTravelPage :39 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (a5c22ede9d04b2c3d314b4e6e3a83760)] -> xpath: //button[text()='Continue']]
2021-12-13 15:12:93 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-13 15:12:793 INFO  StartPage :29 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (03579f8b58bfffb4e9b009c27db22f3e)] -> xpath: //a[normalize-space()='Start now']]
2021-12-13 15:12:55 INFO  SelectNationalityPage :29 - Clicking on reason for visit: Colombia[[ChromeDriver: chrome on WINDOWS (03579f8b58bfffb4e9b009c27db22f3e)] -> xpath: //select[@id='response']]
2021-12-13 15:12:442 INFO  SelectNationalityPage :34 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (03579f8b58bfffb4e9b009c27db22f3e)] -> xpath: //button[normalize-space()='Continue']]
2021-12-13 15:12:657 INFO  ReasonForTravelPage :31 - Clicking on reason for visit: Join partner or family for a long stay[[[ChromeDriver: chrome on WINDOWS (03579f8b58bfffb4e9b009c27db22f3e)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (03579f8b58bfffb4e9b009c27db22f3e)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (03579f8b58bfffb4e9b009c27db22f3e)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (03579f8b58bfffb4e9b009c27db22f3e)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (03579f8b58bfffb4e9b009c27db22f3e)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (03579f8b58bfffb4e9b009c27db22f3e)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (03579f8b58bfffb4e9b009c27db22f3e)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (03579f8b58bfffb4e9b009c27db22f3e)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (03579f8b58bfffb4e9b009c27db22f3e)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-13 15:12:54 INFO  ReasonForTravelPage :39 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (03579f8b58bfffb4e9b009c27db22f3e)] -> xpath: //button[text()='Continue']]
2021-12-13 15:12:185 INFO  FamilyImmigrationStatusPage :33 - Clicking on immigration status: Yes[[[ChromeDriver: chrome on WINDOWS (03579f8b58bfffb4e9b009c27db22f3e)] -> xpath: //div[@class='gem-c-radio govuk-radios__item']//label], [[ChromeDriver: chrome on WINDOWS (03579f8b58bfffb4e9b009c27db22f3e)] -> xpath: //div[@class='gem-c-radio govuk-radios__item']//label]]
2021-12-13 15:12:683 INFO  FamilyImmigrationStatusPage :40 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (03579f8b58bfffb4e9b009c27db22f3e)] -> xpath: //button[text()='Continue']]
2021-12-13 15:12:770 INFO  ResultPage :35 - Clicking on reason for visit: You’ll need a visa to join your family or partner in the UKYou’ll need a visa to join your family or partner in the UK
2021-12-13 15:12:153 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-13 15:12:571 INFO  StartPage :29 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (aef880a330d8647b11e18ebcae6efcc3)] -> xpath: //a[normalize-space()='Start now']]
2021-12-13 15:12:824 INFO  SelectNationalityPage :29 - Clicking on reason for visit: Australia[[ChromeDriver: chrome on WINDOWS (aef880a330d8647b11e18ebcae6efcc3)] -> xpath: //select[@id='response']]
2021-12-13 15:12:246 INFO  SelectNationalityPage :34 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (aef880a330d8647b11e18ebcae6efcc3)] -> xpath: //button[normalize-space()='Continue']]
2021-12-13 15:12:482 INFO  ReasonForTravelPage :31 - Clicking on reason for visit: Tourism or visiting family and friends[[[ChromeDriver: chrome on WINDOWS (aef880a330d8647b11e18ebcae6efcc3)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (aef880a330d8647b11e18ebcae6efcc3)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (aef880a330d8647b11e18ebcae6efcc3)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (aef880a330d8647b11e18ebcae6efcc3)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (aef880a330d8647b11e18ebcae6efcc3)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (aef880a330d8647b11e18ebcae6efcc3)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (aef880a330d8647b11e18ebcae6efcc3)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (aef880a330d8647b11e18ebcae6efcc3)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (aef880a330d8647b11e18ebcae6efcc3)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-13 15:12:306 INFO  ReasonForTravelPage :39 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (aef880a330d8647b11e18ebcae6efcc3)] -> xpath: //button[text()='Continue']]
2021-12-13 15:12:418 INFO  ResultPage :35 - Clicking on reason for visit: You will not need a visa to come to the UKYou will not need a visa to come to the UK
2021-12-13 15:12:451 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-13 15:12:324 INFO  StartPage :29 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (c63c55398dbf294c1d4ca1dc8aa837bb)] -> xpath: //a[normalize-space()='Start now']]
2021-12-13 15:12:524 INFO  SelectNationalityPage :29 - Clicking on reason for visit: Chile[[ChromeDriver: chrome on WINDOWS (c63c55398dbf294c1d4ca1dc8aa837bb)] -> xpath: //select[@id='response']]
2021-12-13 15:12:900 INFO  SelectNationalityPage :34 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (c63c55398dbf294c1d4ca1dc8aa837bb)] -> xpath: //button[normalize-space()='Continue']]
2021-12-13 15:12:84 INFO  ReasonForTravelPage :31 - Clicking on reason for visit: Work, academic visit or business[[[ChromeDriver: chrome on WINDOWS (c63c55398dbf294c1d4ca1dc8aa837bb)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (c63c55398dbf294c1d4ca1dc8aa837bb)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (c63c55398dbf294c1d4ca1dc8aa837bb)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (c63c55398dbf294c1d4ca1dc8aa837bb)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (c63c55398dbf294c1d4ca1dc8aa837bb)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (c63c55398dbf294c1d4ca1dc8aa837bb)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (c63c55398dbf294c1d4ca1dc8aa837bb)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (c63c55398dbf294c1d4ca1dc8aa837bb)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (c63c55398dbf294c1d4ca1dc8aa837bb)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-13 15:12:448 INFO  ReasonForTravelPage :39 - Clicking on next step: [[ChromeDriver: chrome on WINDOWS (c63c55398dbf294c1d4ca1dc8aa837bb)] -> xpath: //button[text()='Continue']]
